name	link	short_desc	long_desc	price	lat	long	zipcode	region	state	open_date	close_date	snowfall	vertical	summit	acres	runs	lifts	green	blue	black	double_black	terrain_parks	epic	ikon	begineers	photo
Copper Mountain	https://www.coppercolorado.com/	A Colorado favorite, Copper Mountain is famous for its 2,465 skiable acres of naturally divided terrain with distinct sections of advanced, intermediate and beginner trails, providing plenty of options for all skiing and riding ability levels. Copper even offers free cat skiing on Tucker Mountain for the experts in the group.	A Colorado favorite, Copper Mountain is famous for its 2,465 skiable acres of naturally divided terrain with distinct sections of advanced, intermediate and beginner trails, providing plenty of options for all skiing and riding ability levels. Copper even offers free cat skiing on Tucker Mountain for the experts in the group. So, exactly how high is the Copper Mountain Ski Resort? Among Colorado's first ski resorts to open in November, the base at Copper Mountain is at 9,712 feet with a resort summit elevation of 12,312 feet, it is an excellent family destination with youth and adult seasonal ski and ride school programs that up the ante on progression, plenty of mellow groomers and a wide array of activities besides skiing and snowboarding, including zip lines, tubing, snowshoeing, ice skating and more. 	129	39.500185	-106.14485	80443	Rockies	Colorado	11/08/2019	04/19/2020	300	2738	12313	2527	150	24	25	24	34	17	6	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/copper.jpg
Aspen Snowmass	https://www.aspensnowmass.com/	Anyplace else, this would be considered four separate vacations, but not in Aspen, where skiers will find more than 5,300 acres of terrain between Snowmass, Aspen Mountain (Ajax), Aspen Highlands and Buttermilk. Not to mention the endless dining, nightlife and shopping the town of Aspen is known for, providing more than enough reasons to visit one of the world's most famous and exciting ski resorts. There's no better time to experience "The Power of Four."	Anyplace else, this would be considered four separate vacations, but not in Aspen, where skiers will find more than 5,300 acres of terrain between Snowmass, Aspen Mountain (Ajax), Aspen Highlands and Buttermilk. Not to mention the endless dining, nightlife and shopping the town of Aspen is known for, providing more than enough reasons to visit one of the world's most famous and exciting ski resorts. There's no better time to experience "The Power of Four."	174	39.213272	-106.932659	81615	Rockies	Colorado	11/23/2019	04/19/2020	300	4406	12510	5517	336	40	6	43	17	34	10	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/aspen.jpg
Vail	https://www.vail.com/	Vail Ski Resort is world renowned for providing guests with an experience that truly is “Like nothing on Earth.” The resort is home to seven legendary back bowls spanning seven miles across the backside of the resort. The ski area is enormous with over 5,289 acres to explore and four distinct base areas connected by free buses and heated walkways.	Vail Ski Resort is world renowned for providing guests with an experience that truly is “Like nothing on Earth.” The resort is home to seven legendary back bowls spanning seven miles across the backside of the resort. The ski area is enormous with over 5,289 acres to explore and four distinct base areas connected by free buses and heated walkways.The resort has great terrain options, excellent ski schools and a large assortment of shopping and dining options. The two main base areas are Vail Village and Lionshead. Vail Village located at the base of Gondola One is the original base area and is home to Vail’s iconic covered bridge that crosses Gore Creek. Lionshead Village, located just west of Vail Village, is serviced by its own gondola and is home to luxury resorts.	219	39.606401	-106.354097	81657	Rockies	Colorado	11/15/2019	04/19/2020	354	3450	11570	5289	195	31	19	29	48	4	3	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/vail.jpg
Breckenridge	https://www.breckenridge.com/	Breckenridge ski resort is one of Colorado’s most visited ski resorts and ski towns, located approximately 100 miles west of the Denver International Airport and less than a two-hour drive from the Denver metro area.	Breckenridge ski resort is one of Colorado’s most visited ski resorts and ski towns, located approximately 100 miles west of the Denver International Airport and less than a two-hour drive from the Denver metro area. Skiers and riders from new to seasoned have five peaks and 2,908 acres of skiable terrain to explore. A towering summit elevation of 12,998 feet, among the highest in the state, is the jumping off point for Breck’s impressive 3,398 feet of vertical drop. Breckenridge ski resort is home to four award-winning terrain parks and a 22-foot superpipe. Feeling a bit peckish? Fuel your alpine adventures at one of Breckenridge ski resort’s 11 on-mountain restaurants or stroll Breckenridge’s charming, historic downtown district.Take in the Rocky Mountains’ breathtaking views at 2,500 feet from the Gold Runner Alpine Coaster, shop at more than 156 unique and locally-owned boutiques and enjoy a libation at Breckenridge’s many restaurants, bars and nightclubs.	199	39.484168	-106.056849	80424	Rockies	Colorado	11/08/2019	05/25/2020	300	3398	12998	2908	187	34	13	23	36	28	4	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/breck.jpg
Telluride	https://www.tellurideskiresort.com/	Telluride Ski Resort boasts incredible views of the San Juan Mountains and is home to more than 2,000 acres of lift-accessible terrain. Telluride’s 4,425 feet of vertical is accessed via 19 lifts and 148 runs. With a lift-served elevation of 12,515 feet and a maximum elevation of 13,150 feet, the mountain has no trouble holding onto its snow - more than 280 inches of average snowfall. Telluride’s terrain ranges from beginner to intermediate, with four hike-to terrain areas for advanced and expert skiers. The ski area offers multiple terrain parks for all skill levels as well as 10 kilometers of Nordic skiing.	Once dubbed “To-Hell-You-Ride” from its mining town days, the town of Telluride was designated a National Historic Landmark in 1964. Telluride Ski Resort boasts incredible views of the San Juan Mountains and is home to more than 2,000 acres of lift-accessible terrain. Telluride’s 4,425 feet of vertical is accessed via 19 lifts and 148 runs. With a lift-served elevation of 12,515 feet and a maximum elevation of 13,150 feet, the mountain has no trouble holding onto its snow - more than 280 inches of average snowfall. Telluride’s terrain ranges from beginner to intermediate, with four hike-to terrain areas for advanced and expert skiers. The ski area offers multiple terrain parks for all skill levels as well as 10 kilometers of Nordic skiing. After the lifts close, head to town and enjoy the après spoils that make this town so unique. From summer bluegrass, beer and film festivals to world-class restaurants and lodging options, the party seems to never end. Summer activities include Jeep tours, golf, fly fishing, mountain biking and ropes courses.	149	37.916124	-107.820166	81435	Rockies	Colorado	11/28/2019	04/05/2020	280	4425	13150	2000	147	17	16	30	21	34	3	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/telluride.jpg
Arapahoe Basin	https://www.arapahoebasin.com/	Known as the Legend, Arapahoe Basin is nestled high along Loveland Pass about 68 miles outside of Denver, Colorado. Having been in operation since 1946, the Legend offers some of the highest skier and rider accessible terrain in North America where half of the mountain sits above the timberline with skiing and snowboarding through late spring and early summer. A-basin features a vertical rise of 2,270 feet and a summit elevation of 13,050 feet with 960 accessible acres and an average snowfall of 350 inches. The terrain is rated 10% beginner, 30% intermediate, 37% advanced and 23% expert with the signature run Pallavicini as one of Colorado’s longest and steepest trails.	Known as the Legend, Arapahoe Basin is nestled high along Loveland Pass about 68 miles outside of Denver, Colorado. Having been in operation since 1946, the Legend offers some of the highest skier and rider accessible terrain in North America where half of the mountain sits above the timberline with skiing and snowboarding through late spring and early summer. A-basin features a vertical rise of 2,270 feet and a summit elevation of 13,050 feet with 960 accessible acres and an average snowfall of 350 inches. The terrain is rated 10% beginner, 30% intermediate, 37% advanced and 23% expert with the signature run Pallavicini as one of Colorado’s longest and steepest trails.	130	39.642776	-105.871022	80435	Rockies	Colorado	10/11/2019	07/05/2020	350	2530	13050	1428	147	9	4	24	39	33	3	FALSE	TRUE	FALSE	https://storage.googleapis.com/blue-square-pictures/a%20basin.webp
Beaver Creek	https://www.beavercreek.com/	Beaver Creek is home to four village areas, each offering a unique experience, world-class restaurants, luxury lodging, endless shopping, exciting events and family-friendly atmosphere. Guests will find convenient on-site access to ski and snowboard schools, a Nordic center, equipment rentals, ice rink and more. Beaver Creek resort is a premier Colorado destination during the summer season as well, offering high altitude golf, mountain biking, hiking and the Summer Adventure Center.	Beaver Creek Ski Resort visitors will find 1,815 skiable acres, 3,340 feet of vertical and a summit elevation of 11,440 feet. The base elevation is 8,100 feet. Skiers and riders have access to 149 different trails serviced by 26 lifts. Average snowfall is 310 inches. Beaver Creek is home to four village areas, each offering a unique experience, world-class restaurants, luxury lodging, endless shopping, exciting events and family-friendly atmosphere. Guests will find convenient on-site access to ski and snowboard schools, a Nordic center, equipment rentals, ice rink and more. Beaver Creek resort is a premier Colorado destination during the summer season as well, offering high altitude golf, mountain biking, hiking and the Summer Adventure Center. Beaver Creek’s signature ski-in/ski-out properties offer a mix of luxury hotels, condos and vacation homes. A fan favorite, Beaver Creek’s fresh baked cookies scent the air every afternoon, tempting tired skiers and riders toward the resort’s base area and Beaver Creek’s welcoming village.	219	39.604559	-106.515772	81620	Rockies	Colorado	11/23/2019	04/12/2020	323	3340	11440	1832	150	24	38	30	24	8	3	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/beaver-creek.jpeg
Crested Butte	https://www.skicb.com/	Known as Colorado’s last great ski town, Crested Butte is a great year-round mountain destination that offers gorgeous scenery, a rich history and lack of crowds. Crested Butte Mountain Resort has expansive and diverse terrain across more than 1,500 skiable acres and offers terrain suitable for any ability type. During the summer, the town is home to the Crested Butte Wildflower Festival since it’s known as the Wildflower Capital of Colorado. Hikers, bikers and outdoor enthusiasts flock to the town during the summer.	Known as Colorado’s last great ski town, Crested Butte is a great year-round mountain destination that offers gorgeous scenery, a rich history and lack of crowds. Crested Butte Mountain Resort has expansive and diverse terrain across more than 1,500 skiable acres and offers terrain suitable for any ability type. During the summer, the town is home to the Crested Butte Wildflower Festival since it’s known as the Wildflower Capital of Colorado. Hikers, bikers and outdoor enthusiasts flock to the town during the summer.	136	38.899413	-106.964531	81225	Rockies	Colorado	11/27/2019	04/12/2020	234	3062	9375	1547	121	14	14	25	25	36	4	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/crested-butte.jpg
Keystone	https://www.keystoneresort.com/	You will not find a more family-friendly ski resort than Keystone, Colorado. Located a mere 100 miles west of the Denver International Airport, Keystone’s three distinct mountain peaks, 20 lifts and 128 runs will challenge skiers and riders of all levels and ages.	You will not find a more family-friendly ski resort than Keystone, Colorado. Located a mere 100 miles west of the Denver International Airport, Keystone’s three distinct mountain peaks, 20 lifts and 128 runs will challenge skiers and riders of all levels and ages. Rising to a summit elevation of 12,408 feet and a base elevation of 9,280 feet, Keystone offers 3,148 acres of skiable space and even the opportunity to night ski. In fact, Keystone resort has the longest day of ski area in Colorado! Endless opportunities and activities abound at Keystone, including snow tubing, dining, shopping, sleigh rides, ice skating and even snow biking! In the snow tubing area for kiddos and adults alike, explore the massive snow fort. Families will also want to take advantage of Keystone’s Kidtopia, a free program with events and activities just for kids. Keystone Resort has no shortage of dining options, including on-mountain restaurants with plenty of choices for even the most finicky palates. You can also ski down to the base of the mountain to several diverse dining options in Keystone’s River Run or Lakeside Village. 	179	39.608698	-105.942698	80435	Rockies	Colorado	10/12/2019	04/12/2020	235	3128	12408	3148	128	20	16	43	41	0	1	TRUE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/keystone.jpg
Deer Valley	https://www.deervalley.com/	Deer Valley ski resort is situated along the Wasatch Range and is home to great powder, groomers, steeps and moguls. With a 3,000-foot vertical drop and more than 2,000 acres of skiable terrain, skiers of all ages and abilities are sure to find the perfect slope. Family friendly and known for its service, Deer Valley has dining establishments to suit every palate. From cafés and grills to elegant and upscale rustic restaurants, guests will find locally sourced products that feature quality ingredients and fresh preparation.	Deer Valley ski resort is situated along the Wasatch Range and is home to great powder, groomers, steeps and moguls. With a 3,000-foot vertical drop and more than 2,000 acres of skiable terrain, skiers of all ages and abilities are sure to find the perfect slope. Family friendly and known for its service, Deer Valley has dining establishments to suit every palate. From cafés and grills to elegant and upscale rustic restaurants, guests will find locally sourced products that feature quality ingredients and fresh preparation.	199	40.6376	-111.477464	84060	Rockies	Utah	12/07/2019	04/12/2020	300	3000	9570	2026	103	21	27	31	10	32	0	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/deer-valley.jpeg
Jackson Hole	https://www.jacksonhole.com/	Jackson Hole Mountain Resort, located in western Wyoming’s Teton Village, is situated just 15 miles from the Jackson Hole Airport and Grand Teton National Park. There’s no shortage of hotels, motels and spas around the Jackson Hole and Tetons area. A variety of vacation rentals, condos and cabins are also available throughout Teton Village.	Jackson Hole Mountain Resort, located in western Wyoming’s Teton Village, is situated just 15 miles from the Jackson Hole Airport and Grand Teton National Park. There’s no shortage of hotels, motels and spas around the Jackson Hole and Tetons area. A variety of vacation rentals, condos and cabins are also available throughout Teton Village.	170	43.587763	-110.826947	83025	Rockies	Wyoming	11/28/2019	04/12/2020	459	4139	10450	2500	133	13	4	38	42	16	4	FALSE	TRUE	FALSE	https://storage.googleapis.com/blue-square-pictures/jackson-hole.jpg
Big Sky	https://bigskyresort.com/	Big Sky Resort, located in south central Montana (approximately 50 miles south of Bozeman), provides visitors with many different amenities, a well-developed infrastructure and over 5,850 acres of skiable terrain. Big Sky services its 4,350 feet of vertical via 24 chair lifts and 12 surface lifts. The ski area has a summit elevation of 11,166 feet and sees an average annual snowfall of more than 400 inches.	Big Sky Resort, located in south central Montana (approximately 50 miles south of Bozeman), provides visitors with many different amenities, a well-developed infrastructure and over 5,850 acres of skiable terrain. Big Sky services its 4,350 feet of vertical via 24 chair lifts and 12 surface lifts. The ski area has a summit elevation of 11,166 feet and sees an average annual snowfall of more than 400 inches. This Montana resort offers more than stunning views; the resort has expansive expert and advanced terrain while including an extensive network of trails suited for the intermediate and beginner skier or snowboarder. The resort is the basecamp to Yellowstone National Park and provides daily shuttles to Yellowstone’s west entrance. The resort has everything one would expect from a modern ski resort, including a variety of dining, lodging (including vacation rentals) and shopping possibilities. Big Sky offers 40 miles of mountain bike accessible trails during the summer as well as golf, hiking, zipline tours and more.	160	45.285925	-111.400301	59716	Rockies	Montana	11/28/2019	04/19/2020	400	4350	11166	5800	317	36	15	25	42	18	8	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/big-sky.jpg
Snowbird	https://www.snowbird.com/	Snowbird claims to have Utah’s longest ski and ride season, and is usually open from mid-November through May. Snowbird is home to many slopeside lodging options, restaurants and bars. The Cliff Spa is located on the top two floors of the Cliff Lodge, providing a variety of services for skiers looking to relax.	Snowbird’s 2,500 skiable acres are accessed via 1 tram and 10 chairlifts, including 6 high-speed detachable quads and 4 doubles. The Utah ski resort has a summit of 11,000 feet and a base elevation of 7,760 feet, with a vertical drop of 3,240 feet. Snowbird averages approximately 500 inches of snowfall per year. For skiers and riders looking to develop their skills, Snowbird’s Mountain School is the perfect place to learn, offering everything from private instruction and class lessons to women’s ski and snowboard camps. Snowbird claims to have Utah’s longest ski and ride season, and is usually open from mid-November through May. Snowbird is home to many slopeside lodging options, restaurants and bars. The Cliff Spa is located on the top two floors of the Cliff Lodge, providing a variety of services for skiers looking to relax. Snowbird ski resort provides multiple summer activities, including a mountain coaster, alpine slide, summer tubing, ropes course and climbing wall. Snowbird also offers lift-served mountain biking during the summer months.	145	40.581222	-111.656522	84092	Rockies	Utah	11/29/2019	06/21/2020	500	3240	11000	2500	140	14	8	25	43	24	1	FALSE	TRUE	FALSE	https://storage.googleapis.com/blue-square-pictures/snowbird.jpg
Taos Ski Valley	https://www.skitaos.com/	The Village of Taos Ski Valley sits at a base elevation of 9,200 feet and offers year-round activities including summer mountain biking, hiking and scenic lift rides for those in search of a view. During the ski season, visitors can access the ski areas 3,281 feet of vertical via 15 lifts and 110 trails.	Taos Ski Valley offers over 300 inches of average annual snowfall, 300 days of sunshine and more than 1,200 skiable acres. Located 20 miles north of Taos, 72 miles north of Santa Fe and 150 miles north of Albuquerque, this northern New Mexico ski area offers a relaxed, friendly atmosphere, breathtaking views and exhilarating terrain for every ability level. The Village of Taos Ski Valley sits at a base elevation of 9,200 feet and offers year-round activities including summer mountain biking, hiking and scenic lift rides for those in search of a view. During the ski season, visitors can access the ski areas 3,281 feet of vertical via 15 lifts and 110 trails.	110	36.596616,	-105.453363	87525	Rockies	New Mexico	11/28/2019	04/14/2020	300	3281	12481	1294	110	14	14	16	30	40	2	FALSE	TRUE	TRUE	https://storage.googleapis.com/blue-square-pictures/taos%20ski.jpg
Sun Valley	https://www.sunvalley.com/	In 1935, Count Felix Schaffgotsch was commissioned by Union Pacific Railroad to begin a search for the perfect North American ski destination. After months of exploring the western United States, the count found Ketchum Valley and was overwhelmed by the area’s terrain features and charm. After just seven months of construction, Sun Valley opened to the public for the winter of 1936.	In 1935, Count Felix Schaffgotsch was commissioned by Union Pacific Railroad to begin a search for the perfect North American ski destination. After months of exploring the western United States, the count found Ketchum Valley and was overwhelmed by the area’s terrain features and charm. After just seven months of construction, Sun Valley opened to the public for the winter of 1936. Sun Valley Resort is a unique combination of Old World European styling mixed with a Wild West heritage. Sun Valley is a ski destination that every skier should have on their bucket list.	145	43.695289	-114.353517	83353	Rockies	Idaho	11/28/2019	04/19/2020	220	5750	9150	2054	120	18	36	42	20	2	7	FALSE	FALSE	TRUE	https://storage.googleapis.com/blue-square-pictures/sun-valley.jpg
Alta Ski Area	https://www.alta.com/	Welcome to Alta, an independent ski area and family-owned since 1938. Alta is proud to be a ski area and not a ski resort. Nestled at the top of Little Cottonwood Canyon deep in the Wasatch mountains, Alta is known around the globe for its powder skiing. With an annual snowfall average of 547” powder days are a way of life here. It’s a magnetic way of life that draws the same employees and guests back to Alta’s community each winter.	Welcome to Alta, an independent ski area and family-owned since 1938. Alta is proud to be a ski area and not a ski resort. Nestled at the top of Little Cottonwood Canyon deep in the Wasatch mountains, Alta is known around the globe for its powder skiing. With an annual snowfall average of 547” powder days are a way of life here. It’s a magnetic way of life that draws the same employees and guests back to Alta’s community each winter.	120	40.588397	-111.635295	84092	Rockies	Utah	11/29/2019	4/19/2020	547	2538	11068	2614	119	6	15	30	55	0	0	FALSE	TRUE	FALSE	https://storage.googleapis.com/blue-square-pictures/alta.jpg
